word,pitch
あいさつ,ア＼イサツ
あいし【哀史】,ア＼イシ
あいじ【愛児】,ア＼イジ
アイシー【ＩＣ】,アイシ＼ー
アイシーレコーダー【ＩＣレコーダー】,アイシーレコ＼ーダー
あいしゃ【愛車】,アイシャ￣
アイシャドー,アイシャ＼ドー
あいしゅう【哀愁】,アイシュー￣
あいしょう【愛称】,アイショー￣
あいしょう【愛唱《×誦》】,アイショー￣
あいしょう【愛しょう《×妾》】,アイショー￣
あいしょう【相性】,アイショ＼ー
あいじょう【愛情】,アイジョー￣
あいじょう【愛嬢】,アイジョー￣
あいしょうか【愛唱歌《×誦》】,アイショ＼ーカ
あいじるし【合い印】,アイジ＼ルシ
あいじん【愛人】,アイジン￣
アイシング,アイシンク゚￣
アイス,ア＼イス
あいす【愛す】,ア＼イス
あいず【合図】,ア＼イズ
アイスキャンディー,アイすキャ＼ンディー
アイスクリーム,アイすクリ＼ーム
アイスコーヒー,アイすコーヒ＼ー
アイスショー,アイスショ＼ー
アイススケート,アイスすケ＼ート
アイスダンス,アイスダ＼ンス
アイスティー,アイすティ＼ー
アイスバーン,アイスバ＼ーン
アイスバイン,アイスバ＼イン
アイスピック,アイすピ＼ック
アイスボックス,アイスボ＼ッくス
アイスホッケー,アイすホ＼ッケー
あいずみ【藍住】［地名］,アイズミ￣
アイスランド［地名］,アイスラ＼ンド
あいする【愛する】,アイス＼ル
あいせき【哀惜】,アイセキ￣
あいせき【愛惜】,アイセキ￣
あいせき【相席】,アイセキ￣
あいせつ【哀切】,アイセツ￣
アイゼナハ［地名］,アイゼ＼ナハ
アイゼン,ア＼イゼン
あいぜんみょうおう【愛染明王】［仏教］,アイゼンミョーオ＼ー
あいそ【哀訴】,ア＼イソ
あいそ【愛想】,アイソ＼
あいぞう【愛憎】,アイゾー￣
あいぞう【愛蔵】,アイゾー￣
あいそく【愛息】,アイソク￣
あいそづかし【愛想尽かし】,アイソズ＼カシ
アイソトープ,アイソト＼ープ
あいそわらい【愛想笑い】,アイソワ＼ライ
あいそん【愛孫】,アイソン￣
あいだ【間】,アイダ￣
あいたい【相対】,アイタイ￣
あいたいずく【相対ずく】,アイタイズク￣
あいたいする【相対する】,ア＼イ・タイス＼ル
あいたがいに【相互いに】,ア＼イ・タカ゚イニ￣
あいだがら【間柄】,アイダカ゚ラ￣
あいだぐい【間食い】,アイダク゚イ￣
アイダホ［地名］,アイダホ￣
あいだま【藍玉】,アイダマ￣
あいち【愛知】［地名］,ア＼イチ
あいちゃく【愛着】,アイチャク￣
あいちょう【哀調】,アイチョー￣
あいちょう【愛鳥】,アイチョー￣
あいつ《×彼奴》,アイツ￣
あいづ【会津】［地名］,アイズ￣
あいつぐ【相次ぐ】,ア＼イツク゚
あいづち【相づち《×槌》】,アイズチ￣
あいづばんげ【会津坂下】［地名］,アイズバ＼ンケ゚
あいづわかまつ【会津若松】［地名］,アイズワカ＼マツ
あいて【相手】,アイテ＼
アイデア,ア＼イデア
アイティー【ＩＴ】,アイティ＼ー
アイディーカード【ＩＤカード】,アイディーカ＼ード
あいてかた【相手方】,アイテカタ￣
あいてがた【相手方】,アイテカ゚タ￣
あいでし【相弟子】,アイデシ￣
あいてしだい【相手しだい】,アイテシ＼ダイ
あいてどる【相手取る】,アイテド＼ル
アイテム,ア＼イテム
あいてやく【相手役】,アイテヤク￣
アイデンティティー,アイデ＼ンティティー
あいとう【哀悼】,アイトー￣
あいどく【愛読】,アイドク￣
あいどくしゃ【愛読者】,アイド＼くシャ
あいどくしょ【愛読書】,アイドくショ￣
あいどの【相殿】［建築］,アイドノ￣
あいともに【相ともに】,ア＼イトモニ
アイドリング,アイドリンク゚￣
アイドリングストップ,アイドリンク゚すト＼ップ
アイドル,ア＼イドル
あいなかばする【相半ばする】,ア＼イ・ナカバ＼スル
あいなめ《×鮎並》,アイナメ￣
あいにく《×生憎》,アイニク￣
アイヌ,ア＼イヌ
アイヌみんぞく【アイヌ民族】,アイヌミ＼ンゾク
あいねず【藍ねず《×鼠》】,アイネズ￣
あいねずみ【藍ねずみ《×鼠》】,アイネ＼ズミ
あいのだけ【間ノ岳】［地名］,アイノ＼ダケ
あいのて【合いの手】,アイノテ＼
あいのり【相乗り】,アイノリ￣
あいば【愛馬】,ア＼イバ
アイバンク,アイバ＼ンク
あいはんする【相反する】,ア＼イ・ハンス＼ル
アイピーアドレス【ＩＰアドレス】,アイピーア＼ドレス
アイピーエスさいぼう【ｉＰＳ細胞】［医学］,アイピーエすサ＼イボー
あいびき【合いびき《×挽》】［食］,アイビキ￣
あいびき《×逢引》,アイビキ￣
あいふ【合い符】,アイフ￣
あいぶ【愛ぶ《×撫》】,ア＼イブ
あいふく【合服】,アイふク￣
あいふだ【合い札】,アイフダ￣
あいべや【相部屋】,アイベヤ￣
あいぼ【愛慕】,ア＼イボ
あいぼう【相棒】,アイボー￣
あいぼし【相星】,アイボシ￣
アイボリー,ア＼イボリー
あいま【合間】,アイマ￣
あいまい,アイマイ￣
アイマスク,アイマ＼すク
あいまって【相まって】,ア＼イ・マ＼ッテ
あいみたがい【相身互い】,ア＼イミ・タカ゚イ￣
あいやく【相役】,アイヤク￣
あいやど【相宿】,アイヤド￣
あいよう【愛用】,アイヨー￣
あいようしゃ【愛用者】,アイヨ＼ーシャ
あいよく【愛欲】,アイヨク￣
あいよつ【相四つ】［相撲］,アイヨツ￣
あいら【姶良】［地名］,ア＼イラ
アイライン,アイラ＼イン
あいらく【哀楽】,アイラク￣
あいらしい【愛らしい】,アイラシ＼イ
アイリス［植物］,ア＼イリス
アイリッシュウイスキー,アイリッシュウイす＼キー
アイリッシュコーヒー,アイリッしュコ＼ーヒー
アイルランド［地名］,アイルラ＼ンド
あいろ《×隘路》,ア＼イロ
アイロニー,ア＼イロニー
アイロン,アイロン￣
あいわ【哀話】,アイワ￣
あう【会う《×逢》】【遭う】,ア＼ウ
あう【合う】,ア＼ウ
アウェー,アウェ＼ー
アウクスブルク［地名］,アウくスブ＼ルク
アウシュビッツ［地名］,アウシュビ＼ッツ
アウストラロピテクス,アウすトラロぴテ＼くス
アウター,アウター￣
アウト,ア＼ウト
アウトウエア,アウトウエ＼ア
アウトコース,アウトコ＼ース
アウトコーナー,アウトコ＼ーナー
アウトサイダー,アウトサ＼イダー
アウトサイド,アウトサ＼イド
アウトソーシング,アウトソ＼ーシンク゚
アウトドア,アウトド＼ア
アウトバーン,アウトバ＼ーン
アウトプット,アウトぷ＼ット
アウトボクシング,アウトボ＼くシンク゚
アウトライン,アウトラ＼イン
アウトレット,アウトレ＼ット
アウトロー,アウトロ＼ー
あうん《×阿吽》,アウン￣
あえぎ《×喘》,アエキ゚＼
あえぎあえぎ《×喘喘》,アエキ゚ア＼エキ゚
あえぐ《×喘》,アエ＼ク゚
あえて《×敢》,ア＼エテ
あえない《×敢》,アエナ＼イ
あえなく《×敢》,アエ＼ナク
あえもの【あえ物《×和》】,アエ＼モノ
あえる《×和》,アエ＼ル
あえん【亜鉛】,アエン￣
あえんか【亜鉛華】,アエンカ￣
あお【青】,ア＼オ
あおあお【青々】,アオア＼オ
あおあざ【青あざ《×痣》】,アオアザ￣
あおあらし【青嵐】,アオア＼ラシ
あおい《×葵》［植物］,アオイ￣
あおい【葵】［地名］,アオイ￣
あおい【青い】,アオ＼イ
あおいきといき【青息吐息】,アオイきト＼イキ
あおいまつり【葵祭】［歴史］,アオイマ＼ツリ
あおいろ【青色】,アオイロ￣
あおいろはっこうダイオード【青色発光ダイオード】,アオイロハッコーダイオ＼ード
あおうなばら【青海原】,アオウナ＼バラ
あおうみがめ［動物］,アオウミ＼カ゚メ
あおうめ【青梅】［植物］,アオ＼ウメ
あおうめづけ【青梅漬け】［食］,アオウメズケ￣
あおえんどう【青えんどう《×豌豆》】,アオエ＼ンドー
あおおに【青鬼】,アオオニ￣
あおがい【青貝】,アオ＼カ゚イ
あおがえる【青がえる《×蛙》】,アオカ゚＼エル
あおがしま【青ヶ島】［地名］,アオカ゚＼シマ
あおかび【青かび《×黴》】,アオカビ￣
あおがり【青刈り】,アオカ゚リ￣
あおき【青木】［植物］,アオキ￣
あおきがはら【青木ヶ原】［地名］,アオキカ゚＼ハラ
あおぎみる【仰ぎ見る】,アオキ゚ミ＼ル
あおぎり《×青桐》［植物］,アオキ゚リ￣
あおぐ【仰ぐ】,アオ＼ク゚
あおぐ《×扇》,アオ＼ク゚
あおくさ【青草】,アオくサ￣
あおくさい【青臭い】,アオくサ＼イ
あおぐろい【青黒い】,アオク゚ロ＼イ
あおげ【青毛】,アオケ゚￣
あおこ【青粉】,アオコ￣
あおごけ【青ごけ《×苔》】,アオコ゚ケ￣
あおさ《×石蓴》,アオサ￣
あおざかな【青魚】,アオザ＼カナ
あおさぎ《×青鷺》,アオサキ゚￣
あおざむらい【青侍】［歴史］,アオザ＼ムライ
あおざめる【青ざめる《×褪》】,アオザメ＼ル
あおじ【青地】,アオジ￣
あおじそ【青じそ《×紫蘇》】,アオジソ￣
あおしま【青島】［地名］,アオシマ￣
あおじゃしん【青写真】,アオジャ＼シン
あおじろい【青白い】,アオジロ＼イ
あおしんごう【青信号】,アオシ＼ンコ゚ー
あおすじ【青筋】,アオスジ￣
あおすだれ【青すだれ《×簾》】,アオス＼ダレ
あおそこひ【青そこひ】,アオソ＼コヒ
あおぞら【青空】,アオゾ＼ラ
あおた【青田】,アオタ￣
あおだいしょう【青大将】,アオダ＼イショー
あおたうり【青田売り】,アオタウリ￣
あおたがい【青田買い】,アオタカ゚イ￣
あおだけ【青竹】,アオダケ￣
あおだたみ【青畳】,アオダ＼タミ
あおだち【青立ち】［農林業］,アオダチ￣
あおっぱな【青っぱな《×洟》】,アオッパナ￣
あおてんじょう【青天井】,アオテ＼ンジョー
あおどうしん【青道心】［仏教］,アオド＼ーシン
あおな【青菜】,アオナ￣
あおにさい【青二才】,アオニ＼サイ
あおによし《×青丹》,ア＼オニヨシ
あおねぎ【青ねぎ《×葱》】,アオネキ゚￣
あおのけ《×仰》,アオノケ￣
あおのける《×仰》,アオノケ＼ル
あおのり《×青海苔》,アオ＼ノリ
あおば【青葉】,ア＼オバ
あおば【青葉】［地名］,ア＼オバ
あおば【青葉】［地名］,ア＼オバ
あおばえ《×青蠅》,アオ＼バエ
あおばな【青ばな《×洟》】,アオバナ￣
あおびかり【青光り】,アオビ＼カリ
あおびょうたん【青びょうたん《×瓢簞》】,アオビョ＼ータン
あおぶさ【青房】［相撲］,アオブサ￣
あおぶだい《×青武鯛》,アオブ＼ダイ
あおまめ【青豆】［植物］,アオマメ￣
あおみ【青み】,アオミ￣
あおみどり【青緑】,アオミ＼ドリ
あおみどろ［植物］,アオミ＼ドロ
あおむぎ【青麦】,アオ＼ムキ゚
あおむく《×仰向》,アオム＼ク
あおむけ《×仰向》,アオムケ￣
あおむけざま《×仰向》,アオムケザマ￣
あおむける《×仰向》,アオムケ＼ル
あおむし【青虫】,アオ＼ムシ
あおもの【青物】,アオ＼モノ
あおものいち【青物市】,アオモノ＼イチ
あおものいちば【青物市場】,アオモノイ＼チバ
あおもり【青森】［地名］,アオ＼モリ
あおやぎ《×青柳》,アオヤキ゚￣
あおやま【青山】［地名］,アオ＼ヤマ
あおり《×煽》,アオリ＼
あおりあし【あおり足《×煽》】,アオリ＼アシ
あおりんご【青りんご《×林檎》】,アオリ＼ンコ゚
あおる《×呷》,アオ＼ル
あおる《×煽》,アオ＼ル
あか【赤】,ア＼カ
あか【閼伽】［仏教］,アカ＼
あか《×銅》,ア＼カ
あか《×垢》,アカ＼
あが【阿賀】［地名］,ア＼カ゚
あかあかと【赤々と】,アカア＼カト
あかあかと,アカア＼カト
あかあり【赤あり《×蟻》】,アカアリ￣
あかい【赤い】,アカイ￣
あかいか《×赤烏賊》,アカ＼イカ
あかいしだけ【赤石岳】［地名］,アカイシ＼ダケ
あかいも【赤芋】［植物］,アカイモ￣
あかいろ【赤色】,アカイロ￣
あかいわ【赤磐】［地名］,アカ＼イワ
あかいわし【赤いわし】,アカイ＼ワシ
あかうみがめ［動物］,アカウミ＼カ゚メ
アカウント,アカ＼ウント
あかえい《×赤鱏》,アカ＼エイ
あかえぼし【赤えぼし】,アカエ＼ボシ
あかおけ【閼伽桶】［仏教］,アカオ＼ケ
あかおに【赤鬼】,アカオニ￣
あかおび【赤帯】［スポーツ］,アカオビ￣
あかがい【赤貝】,アカ＼カ゚イ
あかがえる《×赤蛙》,アカカ゚＼エル
あかがし《×赤樫》［植物］,アカカ゚シ￣
あかがね《×銅》,アカカ゚ネ￣
あかがねいろ【あかがね色《×銅》】,アカカ゚ネイロ￣
あかかぶ【赤かぶ《×蕪》】［植物］,アカカブ￣
あかがみ【赤紙】,アカカ゚ミ￣
あかがわ【赤革】,アカカ゚ワ￣
あかがわら【赤瓦】,アカカ゚＼ワラ
あかカンガルー［動物］,アカカンガ＼ルー
あかぎ【赤城】［地名］,アカキ゚￣
あがき《×足搔》,アカ゚キ＼
あかぎやま【赤城山】［地名］,アカキ゚ヤマ￣
あかぎれ《×皹》,アカキ゚レ￣
あがく《×足搔》,アカ゚＼ク
あかぐつ【赤靴】,アカク゚ツ￣
あかぐつ,アカク゚ツ￣
あかぐま［動物］,アカク゚マ￣
あかぐろい【赤黒い】,アカク゚ロ＼イ
あかげ【赤毛】,アカケ゚￣
あかゲット【赤ゲット】,アカケ゚＼ット
あかげら《×赤啄木鳥》,アカケ゚ラ￣
あかご【赤子】,アカコ゚￣
あかこうのう【赤行のう《×囊》】,アカコ＼ーノー
あかごめ【赤米】,アカコ゚メ￣
あかざ《×藜》［植物］,アカザ￣
あかさか【赤坂】［地名］,アカ＼サカ
あかざとう【赤砂糖】,アカザ＼トー
あかさび【赤さび《×錆》】,アカサビ￣
あかざら【赤ざら】,アカザラ￣
あかさんご【赤さんご《×珊瑚》】,アカサ＼ンコ゚
あかし【証し】,アカシ￣
あかし《×灯》,アカシ￣
あかし【明石】［地名］,ア＼カシ
あかじ【赤字】,アカジ￣
あかじ【赤地】,アカジ￣
アカシア［植物］,アカシア￣
あかしお【赤潮】,アカシオ￣
あかしかいきょう【明石海峡】［地名］,アカしカ＼イキョー
あかしかいきょうおおはし【明石海峡大橋】,アカしカイキョーオ＼ーハシ
あかじそ【赤じそ《×紫蘇》】,アカジソ￣
あかじみる《×垢染》,アカジミ＼ル
あかしろぼう【赤白帽】,アカシロ＼ボー
あかしんごう【赤信号】,アカシ＼ンコ゚ー
あかす【明かす】,アカス￣
あかす【証す】,アカス￣
あかす【飽かす】,アカ＼ス
あかず【開かず】,アカズ￣
あかず【飽かず】,アカズ￣
あかずきん【赤頭巾】,アカズ＼キン
あかすり《×垢擦》,アカスリ￣
あかせん【赤線】,アカセン￣
あかだし【赤だし《×出汁》】［食］,アカダシ￣
あかだな【閼伽棚】［仏教］,アカダナ￣
あかちゃいろ【赤茶色】,アカチャイロ￣
あかちゃける【赤茶ける】,アカチャケ＼ル
あかちゃん【赤ちゃん】,ア＼カチャン
あかちょうちん【赤ちょうちん《×提灯》】,アカチョ＼ーチン
あかチン【赤チン】,アカチン￣
あかつき【暁】,アカつキ￣
あかつきやみ【暁闇】,アカつキ＼ヤミ
あがったり【上がったり】,アカ゚ッタ＼リ
あかつち【赤土】,アカつチ￣
あかっちゃける【赤っ茶ける】,アカッチャケ＼ル
あがつま【吾妻】［地名］,アカ゚ツマ￣
アカデミー,アカ＼デミー
アカデミズム,アカデミ＼ズム
アカデミック,アカデミ＼ック
あかてん【赤点】,アカテン￣
あかでんわ【赤電話】,アカデ＼ンワ
あかとんぼ【赤とんぼ《×蜻蛉》】,アカト＼ンボ
あがない《×贖》,アカ゚ナイ￣
あがなう《×購》,アカ゚ナ＼ウ
あがなう《×贖》,アカ゚ナ＼ウ
あかなす【赤なす《×茄子》】,アカナス￣
あかぬけ【あか抜け《×垢》】,アカヌケ￣
あかぬける【あか抜ける《×垢》】,アカヌケ＼ル
あかね《×茜》,アカネ￣
あかねいろ【あかね色《×茜》】,アカネイロ￣
あかねぞめ【あかね染め《×茜》】,アカネゾメ￣
あかねもめん【あかね木綿《×茜》】,アカネモ＼メン
あがの【阿賀野】［地名］,アカ゚ノ￣
あがのがわ【阿賀野川】［地名］,アカ゚ノ＼カ゚ワ
あかのたにん【赤の他人】,ア＼カノ・タニン￣
あかのまんま【赤のまんま《×飯》】［植物］,アカノマ＼ンマ
アカバ［地名］,ア＼カバ
あかはじ【赤恥】,アカハジ￣
あかはた【赤旗】,アカハタ￣
あかはだ【赤肌】,アカハダ￣
あかはだか【赤裸】,アカハ＼ダカ
あかはな【赤鼻】,アカハナ￣
あかばな【赤鼻】,アカバナ￣
あかばね【赤羽】［地名］,アカバネ￣
あかはら,アカハラ￣
アカハラ,アカハラ￣
あかびかり【あか光り《×垢》】,アカビ＼カリ
あかひげ【赤ひげ《×髭》】,アカヒケ゚￣
あかびら【赤平】［地名］,アカ＼ビラ
あかぶさ【赤房】［相撲］,アカブサ￣
あかふだ【赤札】,アカフダ￣
アカプルコ［地名］,アカプ＼ルコ
アカペラ［音楽］,アカペラ￣
あかぼう【赤帽】,アカボー￣
あかほん【赤本】［文学］,アカホン￣
あかまいし【赤間石】,アカマ＼イシ
あかまつ【赤松】［植物］,アカ＼マツ
あかみ【赤身】,アカミ￣
あかみ【赤み】,アカミ￣
あかみそ【赤みそ《×味噌》】,アカミソ￣
あかむけ【赤むけ《×剝》】,アカムケ￣
あかむらさき【赤紫】,アカムラ＼サキ
あかめ【赤目】,アカメ￣
あがめる《×崇》,アカ゚メ＼ル
あかもん【赤門】,アカモン￣
あからがお【赤ら顔】,アカラカ゚オ￣
あからさま,アカラサマ￣
あからむ【赤らむ】,アカラ＼ム
あからめる【赤らめる】,アカラメ＼ル
あかり【明かり】,アカリ￣
あがり【上がり】【揚がり】,アカ゚リ￣
あがりおり【上がり下り】【上がり降り】,アカ゚リ＼オリ
あがりがまち【上がりがまち】,アカ゚リカ゚＼マチ
あがりくち【上がり口】,アカ゚リくチ￣
あがりぐち【上がり口】,アカ゚リク゚チ￣
あがりこむ【上がり込む】,アカ゚リコ＼ム
あがりさがり【上がり下がり】,アカ゚リ＼サカ゚リ
あかりしょうじ【明かり障子】,アカリショ＼ージ
あがりだか【上がり高】,アカ゚リ＼ダカ
あがりだん【上がり段】,アカ゚リダン￣
あかりとり【明かり取り】,アカリ＼トリ
あがりば【上がり場】,アカ゚リバ￣
あがりばな【上がりばな《×端》】,アカ゚リバナ￣
あがりふじ【上がり藤】,アカ゚リ＼フジ
あかりまど【明かり窓】,アカリマ＼ド
あがりめ【上がり目】,アカ゚リメ￣
あがりもの【上がり物】,アカ゚リモノ￣
あがりゆ【上がり湯】,アカ゚リユ￣
あがる【上がる】【挙がる】【揚がる】【あがる《×食》】,アカ゚ル￣
あかるい【明るい】,アカルイ￣
あかるみ【明るみ】,アカルミ￣
あかるむ【明るむ】,アカル＼ム
あかれんが【赤れんが《×煉瓦》】,アカレ＼ンカ゚
あかワイン【赤ワイン】,アカワ＼イン
あかん【阿寒】［地名］,ア＼カン
あかんこ【阿寒湖】［地名］,アカ＼ンコ
あかんたい【亜寒帯】［地学］,アカンタイ￣
あかんべ,ア＼カンベ
あかんべえ,ア＼カンベー
あかんぼう【赤ん坊】,アカンボー￣
あき【空き】,アキ￣
あき【秋】,ア＼キ
あき【飽き】,アキ＼
あき【安芸】［地名］,ア＼キ
あき【安芸】［地名］,ア＼キ
あきあきする【飽き飽きする】,アキア＼きスル
あきあじ【秋味】,アキ＼アジ
あきうど《×商人》,アキ＼ウド
あきおち【秋落ち】［農林業］,アキオチ￣
あきかぜ【秋風】,アき＼カゼ
あきがわ【秋川】［地名］,アキカ゚ワ￣
あきかん【空き缶】,アきカン￣
あきぎみ【飽き気味】,アキキ゚ミ￣
あきくさ【秋草】,アキくサ￣
あきぐち【秋口】,アキ＼ク゚チ
あきご《×秋蚕》［農林業］,アキコ゚￣
あきごえ【秋肥】［農林業］,アキコ゚エ￣
あきさく【秋作】,アきサク￣
あきざくら【秋桜】,アキザ＼クラ
あきさば【秋さば《×鯖》】,アキサバ￣
あきさむ【秋寒】,アきサム￣
あきさめ【秋雨】,アきサメ￣
あきさめぜんせん【秋雨前線】［気象］,アきサメゼ＼ンセン
あきしつ【空き室】,アキしツ￣
あきしま【昭島】［地名］,アきシマ￣
あきしょう【飽き性】,アきショ＼ー
あきす【空き巣】,アきス￣
あきすねらい【空き巣狙い】,アきスネ＼ライ
あきぞら【秋空】,アキゾ＼ラ
あきた【秋田】［地名］,ア＼きタ
あきだいこん【秋大根】,アキダ＼イコン
あきたいぬ【秋田犬】,アきタ＼イヌ
あきたかた【安芸高田】［地名］,ア＼き・タカタ￣
あきたこまがたけ【秋田駒ヶ岳】［地名］,アきタコマカ゚＼タケ
あきたすぎ【秋田杉】,アきタ＼スキ゚
あきだな【空きだな《×店》】,アキダナ￣
あきたやけやま【秋田焼山】［地名］,ア＼きタ・ヤケヤマ￣
あきたりない【飽き足りない】,アきタリナイ￣
あきだる【空きだる《×樽》】,アキダル￣
あきち【空き地】,アきチ￣
あきつかみ《×現神》［古語］,アきツ＼カミ
あきつしま【秋津島】,アきツ＼シマ
あきっぽい【飽きっぽい】,アきッポ＼イ
あきない【商い】,アキ＼ナイ
あきないもの【商い物】,アキナイモノ￣
あきなう【商う】,アキナ＼ウ
あきなす【秋なす《×茄子》】,アキナス￣
あきなり【秋なり《×生》】,アキナリ￣
あきのななくさ【秋の七草】,ア＼キノ・ナナ＼くサ
あきばこ【空き箱】,アキバコ￣
あきばしょ【秋場所】［相撲］,アキバショ￣
あきはばら【秋葉原】［地名］,アきハ＼バラ
あきばれ【秋晴れ】,アキバレ￣
あきびえ【秋冷え】,アキビエ￣
あきびより【秋日和】,アキビ＼ヨリ
あきびん【空き瓶】,アキビン￣
あきべや【空き部屋】,アキベヤ￣
あきま【空き間】,アキマ￣
あきまき【秋まき《×蒔》】［農林業］,アキマキ￣
あきまつり【秋祭り】,アキマ＼ツリ
あきみせ【空き店】,アキミセ￣
あきめく【秋めく】,アキメ＼ク
あきもの【秋物】,アキモノ￣
あきや【空き家】,アキヤ￣
あきやすみ【秋休み】,アキヤ＼スミ
あきゅうど《×商人》,アキュ＼ード
あぎょう【阿形】［仏教］,アキ゚ョー￣
あきよしだい【秋吉台】［地名］,アキヨシ＼ダイ
あきよしどう【秋芳洞】［地名］,アキヨシ＼ドー
あきらか【明らか】,アキ＼ラカ
あきらめ【諦め】,アキラメ￣
あきらめる【諦める】,アキラメ＼ル
あきる【飽きる】,アキ＼ル
あきるの【あきる野】［地名］,アキルノ￣
あきれかえる【あきれ返る《×呆》】,アキレカ＼エル
アキレスけん《×腱》,アキレす＼ケン
あきれはてる【あきれ果てる《×呆》】,アキレハテ＼ル
あきれる《×呆》,アキレル￣
あきんど《×商人》,アキ＼ンド
あく《×灰汁》,アク￣
あく【悪】,ア＼ク
あく【開く】【空く】【明く】,アク￣
あく【飽く】,ア＼ク
あくあらい【あく洗い《×灰汁》】,アクア＼ライ
アクアリウム,アクアリ＼ウム
あくい【悪意】,ア＼クイ
あくいん【悪因】［仏教］,アクイン￣
あくうん【悪運】,アクウン￣
あくえいきょう【悪影響】,アクエ＼ーキョー
あくえき【悪疫】,アクエキ￣
あくえん【悪縁】,アクエン￣
あくかんじょう【悪感情】,アくカ＼ンジョー
あくぎゃく【悪逆】,アクキ゚ャク￣
あくぎょう【悪行】,アクキ゚ョー￣
あくぎょう【悪業】,アクキ゚ョー￣
あくごう【悪業】［仏教］,アクコ゚ー￣
あくさい【悪妻】,アくサイ￣
あくざいりょう【悪材料】［経済］,アクザ＼イリョー
あくじ【悪事】,ア＼クジ
あくじき【悪食】,アクジキ￣
あくしつ【悪疾】,アクしツ￣
あくしつ【悪質】,アクしツ￣
あくしつしょうほう【悪質商法】,アクしツショ＼ーホー
アクシデント,ア＼くシデント
あくしゅ【悪手】［囲碁］［将棋］,アくシュ￣
あくしゅ【握手】,ア＼くシュ
あくしゅう【悪臭】,アくシュー￣
あくしゅう【悪習】,アくシュー￣
あくしゅみ【悪趣味】,アくシュ＼ミ
あくじゅんかん【悪循環】,アクジュ＼ンカン
あくしょ【悪所】,ア＼くショ
あくしょ【悪書】,ア＼くショ
あくじょ【悪女】,ア＼クジョ
あくしょう【悪性】,アくショ＼ー
あくじょうけん【悪条件】,アクジョ＼ーケン
アクション,ア＼くション
あくしん【悪心】,アくシン￣
あくじん【悪神】,アクジン￣
